title,price,url,image_url
"VINTAGE
BALENCIAGA
Leather handbag
1.284 DKK
1.177 DKK
Spain",DKK 1.177,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-balenciaga-handbag-65289564.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-balenciaga-handbag-65289564-1_2.jpg"
"BALENCIAGA
Neo Classic leather crossbody bag
5.753 DKK
France",5.753 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/grey-leather-neo-classic-balenciaga-handbag-65295462.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/grey-leather-neo-classic-balenciaga-handbag-65295462-1_2.jpg"
"BALENCIAGA
Le Cagole leather handbag
4.310 DKK
Spain",4.310 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/green-leather-le-cagole-balenciaga-handbag-65166547.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/green-leather-le-cagole-balenciaga-handbag-65166547-1_3.jpg"
"BALENCIAGA
Neo Cagole City leather handbag
14.160 DKK
13.275 DKK
Germany",DKK 13.275,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-neo-cagole-city-balenciaga-handbag-65255757.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-neo-cagole-city-balenciaga-handbag-65255757-1_2.jpg"
"BALENCIAGA
City leather handbag
7.876 DKK
Italy",7.876 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/grey-leather-city-balenciaga-handbag-65308850.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/grey-leather-city-balenciaga-handbag-65308850-1_3.jpg"
"BALENCIAGA
City leather handbag
6.195 DKK
France",6.195 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/purple-leather-city-balenciaga-handbag-65177457.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/purple-leather-city-balenciaga-handbag-65177457-1_2.jpg"
"BALENCIAGA
Le Cagole leather crossbody bag
5.753 DKK
Netherlands",5.753 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/blue-leather-le-cagole-balenciaga-handbag-65259182.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/blue-leather-le-cagole-balenciaga-handbag-65259182-1_2.jpg"
"BALENCIAGA
City leather handbag
3.363 DKK
3.275 DKK
France",DKK 3.275,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/white-leather-city-balenciaga-handbag-65148864.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/white-leather-city-balenciaga-handbag-65148864-1_3.jpg"
"BALENCIAGA
Bistro Panier tote
3.450 DKK
Denmark",3.450 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/yellow-plastic-bistro-panier-balenciaga-handbag-65243891.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/yellow-plastic-bistro-panier-balenciaga-handbag-65243891-1_4.jpg"
"BALENCIAGA
City leather handbag
6.540 DKK
6.284 DKK
France",DKK 6.284,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/blue-leather-city-balenciaga-handbag-65200128.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/blue-leather-city-balenciaga-handbag-65200128-1_3.jpg"
"WE LOVE
BALENCIAGA
Le Cagole leather handbag
13.225 DKK
11.270 DKK
Denmark",DKK 11.270,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/black-leather-le-cagole-balenciaga-handbag-64834760.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-le-cagole-balenciaga-handbag-64834760-1_2.jpg"
"BALENCIAGA
Neo Cagole City handbag
8.584 DKK
France",8.584 DKK,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/blue-denim-jeans-neo-cagole-city-balenciaga-handbag-65283683.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/blue-denim-jeans-neo-cagole-city-balenciaga-handbag-65283683-1_2.jpg"
"BALENCIAGA
City leather handbag
7.753 DKK
7.522 DKK
Italy",DKK 7.522,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/pink-leather-city-balenciaga-handbag-65308985.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/pink-leather-city-balenciaga-handbag-65308985-1_3.jpg"
"WE LOVE
BALENCIAGA
Neo Cagole City leather crossbody bag
8.407 DKK
7.965 DKK
France",DKK 7.965,https://www.vestiairecollective.com/women-bags/handbags/balenciaga/blue-leather-neo-cagole-city-balenciaga-handbag-65000048.shtml,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/blue-leather-neo-cagole-city-balenciaga-handbag-65000048-1_2.jpg"
